Type,School Year,County,District,School,Agency Name,Attendance Rate,DataAsOf 
DI,20022003,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9560,11/09/2012
DI,20032004,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9584,11/09/2012
DI,20042005,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9614,11/09/2012
DI,20052006,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9622,11/09/2012
DI,20062007,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9612,11/09/2012
DI,20072008,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9616,11/09/2012
DI,20082009,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9588,11/09/2012
DI,20092010,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9539,11/09/2012
DI,20102011,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9549,11/09/2012
DI,20112012,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9591,11/09/2012
DI,20122013,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9531,07/03/2013
DI,20132014,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9546,07/07/2014
DI,20142015,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9484,08/18/2015
DI,20152016,21,0180,000,CALLAWAY PUBLIC SCHOOLS,0.9582,12/12/2016
DI,20012002,21,0234,000,BERWYN PUBLIC SCHOOL,0.9663,11/09/2012
DI,20022003,21,0234,000,BERWYN PUBLIC SCHOOL,0.9276,11/09/2012
DI,20032004,21,0234,000,BERWYN PUBLIC SCHOOL,0.9825,11/09/2012
DI,20042005,21,0234,000,BERWYN PUBLIC SCHOOL,0.9650,11/09/2012
DI,20052006,21,0234,000,BERWYN PUBLIC SCHOOL,0.9660,11/09/2012
DI,20012002,21,0256,000,OCONTO PUBLIC SCHOOL,0.9786,11/09/2012
DI,20022003,21,0256,000,OCONTO PUBLIC SCHOOL,0.9749,11/09/2012
DI,20032004,21,0256,000,OCONTO PUBLIC SCHOOL,0.9725,11/09/2012
DI,20042005,21,0256,000,OCONTO PUBLIC SCHOOL,0.9800,11/09/2012
DI,20052006,21,0256,000,OCONTO PUBLIC SCHOOL,0.9597,11/09/2012
DI,20012002,21,0284,000,COUNTY LINE PUBLIC SCHOOL,0.9725,11/09/2012
DI,20012002,21,0523,000,GATES PUBLIC SCHOOL,0.9693,11/09/2012
DI,20022003,21,0523,000,GATES PUBLIC SCHOOL,0.9699,11/09/2012
DI,20032004,21,0523,000,GATES PUBLIC SCHOOL,0.9750,11/09/2012
DI,20042005,21,0523,000,GATES PUBLIC SCHOOL,0.9724,11/09/2012
DI,20052006,21,0523,000,GATES PUBLIC SCHOOL,0.9741,11/09/2012
DI,20012002,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9493,11/09/2012
DI,20022003,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9524,11/09/2012
DI,20032004,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9578,11/09/2012
DI,20042005,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9585,11/09/2012
DI,20052006,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9557,11/09/2012
DI,20062007,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9526,11/09/2012
DI,20072008,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9509,11/09/2012
DI,20082009,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9414,11/09/2012
DI,20092010,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9386,11/09/2012
DI,20102011,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9433,11/09/2012
DI,20112012,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9489,11/09/2012
DI,20122013,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9503,07/03/2013
DI,20132014,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9497,07/07/2014
DI,20142015,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9480,08/18/2015
DI,20152016,22,0011,000,SO SIOUX CITY COMMUNITY SCHS,0.9569,12/12/2016
DI,20012002,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9658,11/09/2012
DI,20022003,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9661,11/09/2012
DI,20032004,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9622,11/09/2012
DI,20042005,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9684,11/09/2012
DI,20052006,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9659,11/09/2012
DI,20062007,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9612,11/09/2012
DI,20072008,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9664,11/09/2012
DI,20082009,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9511,11/09/2012
DI,20092010,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9577,11/09/2012
DI,20102011,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9638,11/09/2012
DI,20112012,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9639,11/09/2012
DI,20122013,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9603,07/03/2013
DI,20132014,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9526,07/07/2014
DI,20142015,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9511,08/18/2015
DI,20152016,22,0031,000,HOMER COMMUNITY SCHOOLS,0.9524,12/12/2016
DI,20012002,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9355,11/09/2012
DI,20022003,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9278,11/09/2012
DI,20032004,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9354,11/09/2012
DI,20042005,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9435,11/09/2012
DI,20052006,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9491,11/09/2012
DI,20062007,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9503,11/09/2012
DI,20072008,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9452,11/09/2012
DI,20082009,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9441,11/09/2012
DI,20092010,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9450,11/09/2012
DI,20102011,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9535,11/09/2012
DI,20112012,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9543,11/09/2012
DI,20122013,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9464,07/03/2013
DI,20132014,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9489,07/07/2014
DI,20142015,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9541,08/18/2015
DI,20152016,23,0002,000,CHADRON PUBLIC SCHOOLS,0.9522,12/12/2016
DI,20012002,23,0003,000,ALPHA PUBLIC SCHOOL,0.9437,11/09/2012
DI,20022003,23,0003,000,ALPHA PUBLIC SCHOOL,0.9336,11/09/2012
DI,20032004,23,0003,000,ALPHA PUBLIC SCHOOL,0.9428,11/09/2012
DI,20042005,23,0003,000,ALPHA PUBLIC SCHOOL,0.9543,11/09/2012
DI,20052006,23,0003,000,ALPHA PUBLIC SCHOOL,0.9320,11/09/2012
DI,20012002,23,0028,000,VALLEY STAR PUBLIC SCHOOL,0.9484,11/09/2012
DI,20022003,23,0028,000,VALLEY STAR PUBLIC SCHOOL,0.9603,11/09/2012
DI,20032004,23,0028,000,VALLEY STAR PUBLIC SCHOOL,0.9655,11/09/2012
DI,20042005,23,0028,000,VALLEY STAR PUBLIC SCHOOL,0.9617,11/09/2012
DI,20052006,23,0028,000,VALLEY STAR PUBLIC SCHOOL,,11/09/2012
DI,20012002,23,0039,000,BELMONT PUBLIC SCHOOL,0.9825,11/09/2012
DI,20022003,23,0039,000,BELMONT PUBLIC SCHOOL,0.9520,11/09/2012
DI,20032004,23,0039,000,BELMONT PUBLIC SCHOOL,0.9686,11/09/2012
DI,20042005,23,0039,000,BELMONT PUBLIC SCHOOL,0.9578,11/09/2012
DI,20052006,23,0039,000,BELMONT PUBLIC SCHOOL,0.9600,11/09/2012
DI,20012002,23,0041,000,TABLE CENTER PUBLIC SCHOOL,0.9925,11/09/2012
DI,20022003,23,0041,000,TABLE CENTER PUBLIC SCHOOL,0.9847,11/09/2012
DI,20032004,23,0041,000,TABLE CENTER PUBLIC SCHOOL,0.9300,11/09/2012
DI,20042005,23,0041,000,TABLE CENTER PUBLIC SCHOOL,0.9397,11/09/2012
DI,20052006,23,0041,000,TABLE CENTER PUBLIC SCHOOL,,11/09/2012
DI,20012002,23,0044,000,ANTELOPE PUBLIC SCHOOL,0.9417,11/09/2012
DI,20022003,23,0044,000,ANTELOPE PUBLIC SCHOOL,0.9650,11/09/2012
DI,20032004,23,0044,000,ANTELOPE PUBLIC SCHOOL,0.9757,11/09/2012
DI,20042005,23,0044,000,ANTELOPE PUBLIC SCHOOL,0.9467,11/09/2012
DI,20052006,23,0044,000,ANTELOPE PUBLIC SCHOOL,0.9560,11/09/2012
DI,20012002,23,0049,000,TRUNK BUTTE PUBLIC SCHOOL,0.9651,11/09/2012
DI,20022003,23,0049,000,TRUNK BUTTE PUBLIC SCHOOL,0.9525,11/09/2012
DI,20032004,23,0049,000,TRUNK BUTTE PUBLIC SCHOOL,0.9632,11/09/2012
DI,20042005,23,0049,000,TRUNK BUTTE PUBLIC SCHOOL,0.9442,11/09/2012
DI,20052006,23,0049,000,TRUNK BUTTE PUBLIC SCHOOL,0.9616,11/09/2012
DI,20012002,23,0062,000,WHITNEY PUBLIC SCHOOL,0.9559,11/09/2012
DI,20022003,23,0062,000,WHITNEY PUBLIC SCHOOL,0.9606,11/09/2012
DI,20032004,23,0062,000,WHITNEY PUBLIC SCHOOL,0.9510,11/09/2012
DI,20042005,23,0062,000,WHITNEY PUBLIC SCHOOL,0.9568,11/09/2012
DI,20052006,23,0062,000,WHITNEY PUBLIC SCHOOL,0.9672,11/09/2012
DI,20012002,23,0069,000,PRAIRIE HOME PUBLIC SCHOOL,0.9640,11/09/2012
DI,20022003,23,0069,000,PRAIRIE HOME PUBLIC SCHOOL,0.9360,11/09/2012
DI,20032004,23,0069,000,PRAIRIE HOME PUBLIC SCHOOL,0.9520,11/09/2012
DI,20042005,23,0069,000,PRAIRIE HOME PUBLIC SCHOOL,0.9505,11/09/2012
DI,20052006,23,0069,000,PRAIRIE HOME PUBLIC SCHOOL,0.9433,11/09/2012
DI,20012002,23,0070,000,COTTONWOOD PUBLIC SCHOOL,0.9720,11/09/2012
DI,20022003,23,0070,000,COTTONWOOD PUBLIC SCHOOL,0.9840,11/09/2012
DI,20032004,23,0070,000,COTTONWOOD PUBLIC SCHOOL,0.9900,11/09/2012
DI,20042005,23,0070,000,COTTONWOOD PUBLIC SCHOOL,0.9620,11/09/2012
DI,20052006,23,0070,000,COTTONWOOD PUBLIC SCHOOL,0.9533,11/09/2012
DI,20012002,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9510,11/09/2012
DI,20022003,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9541,11/09/2012
DI,20032004,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9571,11/09/2012
DI,20042005,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9538,11/09/2012
DI,20052006,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9503,11/09/2012
DI,20062007,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9403,11/09/2012
DI,20072008,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9101,11/09/2012
DI,20082009,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9409,11/09/2012
DI,20092010,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9350,11/09/2012
DI,20102011,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9455,11/09/2012
DI,20112012,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9425,11/09/2012
DI,20122013,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9344,07/03/2013
DI,20132014,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9354,07/07/2014
DI,20142015,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9401,08/18/2015
DI,20152016,23,0071,000,CRAWFORD PUBLIC SCHOOLS,0.9382,12/12/2016
DI,20012002,23,0092,000,MARSLAND PUBLIC SCHOOL,,11/09/2012
DI,20012002,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9556,11/09/2012
DI,20022003,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9585,11/09/2012
DI,20032004,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9581,11/09/2012
DI,20042005,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9576,11/09/2012
DI,20052006,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9509,11/09/2012
DI,20062007,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9532,11/09/2012
DI,20072008,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9517,11/09/2012
DI,20082009,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9534,11/09/2012
DI,20092010,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9517,11/09/2012
DI,20102011,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9517,11/09/2012
DI,20112012,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9574,11/09/2012
DI,20122013,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9527,07/03/2013
DI,20132014,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9535,07/07/2014
DI,20142015,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9560,08/18/2015
DI,20152016,24,0001,000,LEXINGTON PUBLIC SCHOOLS,0.9548,12/12/2016
DI,20012002,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9541,11/09/2012
DI,20022003,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9512,11/09/2012
DI,20032004,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9591,11/09/2012
DI,20042005,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9583,11/09/2012
DI,20052006,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9457,11/09/2012
DI,20062007,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9495,11/09/2012
DI,20072008,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9553,11/09/2012
DI,20082009,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9585,11/09/2012
DI,20092010,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9489,11/09/2012
DI,20102011,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9559,11/09/2012
DI,20112012,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9618,11/09/2012
DI,20122013,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9570,07/03/2013
DI,20132014,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9599,07/07/2014
DI,20142015,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9455,08/18/2015
DI,20152016,24,0004,000,OVERTON PUBLIC SCHOOLS,0.9507,12/12/2016
DI,20012002,24,0011,000,COZAD CITY SCHOOLS,0.9478,11/09/2012
DI,20022003,24,0011,000,COZAD CITY SCHOOLS,0.9571,11/09/2012
DI,20032004,24,0011,000,COZAD CITY SCHOOLS,0.9506,11/09/2012
DI,20042005,24,0011,000,COZAD CITY SCHOOLS,0.9515,11/09/2012
DI,20052006,24,0011,000,COZAD CITY SCHOOLS,0.9598,11/09/2012
DI,20062007,24,0011,000,COZAD CITY SCHOOLS,0.9534,11/09/2012
DI,20072008,24,0011,000,COZAD CITY SCHOOLS,0.9519,11/09/2012
DI,20082009,24,0011,000,COZAD CITY SCHOOLS,0.9281,11/09/2012
DI,20092010,24,0011,000,COZAD CITY SCHOOLS,0.9232,11/09/2012
DI,20102011,24,0011,000,COZAD CITY SCHOOLS,0.9592,11/09/2012
DI,20112012,24,0011,000,COZAD COMMUNITY SCHOOLS,0.9599,11/09/2012
DI,20122013,24,0011,000,COZAD COMMUNITY SCHOOLS,0.9546,07/03/2013
DI,20132014,24,0011,000,COZAD COMMUNITY SCHOOLS,0.9578,07/07/2014
DI,20142015,24,0011,000,COZAD COMMUNITY SCHOOLS,0.9551,08/18/2015
DI,20152016,24,0011,000,COZAD COMMUNITY SCHOOLS,0.9601,12/12/2016
DI,20012002,24,0013,000,DIST 013 - DAWSON COUNTY,0.9555,11/09/2012
DI,20022003,24,0013,000,DIST 013 - DAWSON COUNTY,0.9595,11/09/2012
DI,20032004,24,0013,000,DIST 013 - DAWSON COUNTY,0.9544,11/09/2012
DI,20042005,24,0013,000,DIST 013 - DAWSON COUNTY,0.9617,11/09/2012
DI,20052006,24,0013,000,DIST 013 - DAWSON COUNTY,0.9590,11/09/2012
DI,20012002,24,0015,000,DIST 015 - DAWSON COUNTY,0.9560,11/09/2012
DI,20022003,24,0015,000,DIST 015 - DAWSON COUNTY,0.9352,11/09/2012
DI,20032004,24,0015,000,DIST 015 - DAWSON COUNTY,0.9484,11/09/2012
DI,20042005,24,0015,000,DIST 015 - DAWSON COUNTY,0.9500,11/09/2012
DI,20052006,24,0015,000,DIST 015 - DAWSON COUNTY,0.9636,11/09/2012
DI,20012002,24,0016,000,DIST 016 - DAWSON COUNTY,0.9412,11/09/2012
DI,20022003,24,0016,000,DIST 016 - DAWSON COUNTY,0.9246,11/09/2012
DI,20032004,24,0016,000,DIST 016 - DAWSON COUNTY,0.9318,11/09/2012
DI,20042005,24,0016,000,DIST 016 - DAWSON COUNTY,0.9309,11/09/2012
DI,20052006,24,0016,000,DIST 016 - DAWSON COUNTY,0.9481,11/09/2012
DI,20012002,24,0017,000,DIST 017 - DAWSON COUNTY,0.9619,11/09/2012
DI,20022003,24,0017,000,DIST 017 - DAWSON COUNTY,0.9684,11/09/2012
DI,20032004,24,0017,000,DIST 017 - DAWSON COUNTY,0.9504,11/09/2012
DI,20042005,24,0017,000,DIST 017 - DAWSON COUNTY,0.9600,11/09/2012
DI,20052006,24,0017,000,DIST 017 - DAWSON COUNTY,0.9746,11/09/2012
DI,20012002,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9602,11/09/2012
DI,20022003,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9649,11/09/2012
DI,20032004,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9575,11/09/2012
DI,20042005,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9616,11/09/2012
DI,20052006,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9623,11/09/2012
DI,20062007,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9604,11/09/2012
DI,20072008,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9605,11/09/2012
DI,20082009,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9585,11/09/2012
DI,20092010,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9564,11/09/2012
DI,20102011,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9564,11/09/2012
DI,20112012,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9601,11/09/2012
DI,20122013,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9572,07/03/2013
DI,20132014,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9581,07/07/2014
DI,20142015,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9517,08/18/2015
DI,20152016,24,0020,000,GOTHENBURG PUBLIC SCHOOLS,0.9556,12/12/2016
DI,20012002,24,0022,000,DIST 022 - DAWSON COUNTY,0.9502,11/09/2012
DI,20022003,24,0022,000,DIST 022 - DAWSON COUNTY,0.9506,11/09/2012
DI,20032004,24,0022,000,DIST 022 - DAWSON COUNTY,0.9514,11/09/2012
DI,20042005,24,0022,000,DIST 022 - DAWSON COUNTY,0.9487,11/09/2012
DI,20052006,24,0022,000,DIST 022 - DAWSON COUNTY,0.9249,11/09/2012
DI,20012002,24,0025,000,DIST 025 - DAWSON COUNTY,0.9803,11/09/2012
DI,20022003,24,0025,000,DIST 025 - DAWSON COUNTY,0.9629,11/09/2012
DI,20032004,24,0025,000,DIST 025 - DAWSON COUNTY,0.9638,11/09/2012
DI,20042005,24,0025,000,DIST 025 - DAWSON COUNTY,0.9752,11/09/2012
DI,20052006,24,0025,000,DIST 025 - DAWSON COUNTY,0.9739,11/09/2012
DI,20012002,24,0027,000,DIST 027 - DAWSON COUNTY,0.9588,11/09/2012
DI,20022003,24,0027,000,DIST 027 - DAWSON COUNTY,0.9664,11/09/2012
DI,20032004,24,0027,000,DIST 027 - DAWSON COUNTY,0.9300,11/09/2012
DI,20012002,24,0029,000,DIST 029 - DAWSON COUNTY,0.9688,11/09/2012
DI,20022003,24,0029,000,DIST 029 - DAWSON COUNTY,0.9728,11/09/2012
DI,20032004,24,0029,000,DIST 029 - DAWSON COUNTY,0.9640,11/09/2012
DI,20042005,24,0029,000,DIST 029 - DAWSON COUNTY,0.9612,11/09/2012
DI,20052006,24,0029,000,DIST 029 - DAWSON COUNTY,0.9603,11/09/2012
DI,20012002,24,0044,000,DIST 044 - DAWSON COUNTY,0.9611,11/09/2012
DI,20022003,24,0044,000,DIST 044 - DAWSON COUNTY,0.9517,11/09/2012
DI,20032004,24,0044,000,DIST 044 - DAWSON COUNTY,0.9633,11/09/2012
DI,20042005,24,0044,000,DIST 044 - DAWSON COUNTY,0.9433,11/09/2012
DI,20052006,24,0044,000,DIST 044 - DAWSON COUNTY,0.9517,11/09/2012
DI,20012002,24,0081,000,DIST 081 - DAWSON COUNTY,0.9613,11/09/2012
DI,20022003,24,0081,000,DIST 081 - DAWSON COUNTY,0.9767,11/09/2012
DI,20032004,24,0081,000,DIST 081 - DAWSON COUNTY,0.9890,11/09/2012
DI,20042005,24,0081,000,DIST 081 - DAWSON COUNTY,0.9702,11/09/2012
DI,20052006,24,0081,000,DIST 081 - DAWSON COUNTY,0.9901,11/09/2012
DI,20012002,24,0100,000,DIST 100 - DAWSON COUNTY,0.9827,11/09/2012
DI,20022003,24,0100,000,DIST 100 - DAWSON COUNTY,0.9732,11/09/2012
DI,20032004,24,0100,000,DIST 100 - DAWSON COUNTY,0.9650,11/09/2012
DI,20042005,24,0100,000,DIST 100 - DAWSON COUNTY,0.9728,11/09/2012
DI,20052006,24,0100,000,DIST 100 - DAWSON COUNTY,0.9835,11/09/2012
DI,20012002,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9555,11/09/2012
DI,20022003,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9562,11/09/2012
DI,20032004,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9505,11/09/2012
DI,20042005,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9543,11/09/2012
DI,20052006,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9495,11/09/2012
DI,20062007,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9507,11/09/2012
DI,20072008,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9494,11/09/2012
DI,20082009,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9451,11/09/2012
DI,20092010,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9550,11/09/2012
DI,20102011,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9483,11/09/2012
DI,20112012,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9565,11/09/2012
DI,20122013,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9582,07/03/2013
DI,20132014,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9645,07/07/2014
DI,20142015,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9558,08/18/2015
DI,20152016,24,0101,000,SUMNER-EDDYVILLE-MILLER SCHS,0.9631,12/12/2016
DI,20012002,25,0001,000,CHAPPELL PUBLIC SCHOOLS,0.9682,11/09/2012
DI,20022003,25,0001,000,CHAPPELL PUBLIC SCHOOLS,0.9692,11/09/2012
DI,20032004,25,0001,000,CHAPPELL PUBLIC SCHOOLS,0.9717,11/09/2012
DI,20042005,25,0025,000,CREEK VALLEY SCHOOLS,0.9640,11/09/2012
DI,20052006,25,0025,000,CREEK VALLEY SCHOOLS,0.9529,11/09/2012
DI,20062007,25,0025,000,CREEK VALLEY SCHOOLS,0.9529,11/09/2012
DI,20072008,25,0025,000,CREEK VALLEY SCHOOLS,0.9531,11/09/2012
DI,20082009,25,0025,000,CREEK VALLEY SCHOOLS,0.9545,11/09/2012
DI,20092010,25,0025,000,CREEK VALLEY SCHOOLS,0.9454,11/09/2012
DI,20102011,25,0025,000,CREEK VALLEY SCHOOLS,0.9542,11/09/2012
DI,20112012,25,0025,000,CREEK VALLEY SCHOOLS,0.9554,11/09/2012
DI,20122013,25,0025,000,CREEK VALLEY SCHOOLS,0.9602,07/03/2013
DI,20132014,25,0025,000,CREEK VALLEY SCHOOLS,0.9532,07/07/2014
DI,20142015,25,0025,000,CREEK VALLEY SCHOOLS,0.9544,08/18/2015
DI,20152016,25,0025,000,CREEK VALLEY SCHOOLS,0.9541,12/12/2016
DI,20012002,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9628,11/09/2012
DI,20022003,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9675,11/09/2012
DI,20032004,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9705,11/09/2012
DI,20042005,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9673,11/09/2012
DI,20052006,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9639,11/09/2012
DI,20062007,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9614,11/09/2012
DI,20072008,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9580,11/09/2012
DI,20082009,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9613,11/09/2012
DI,20092010,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9609,11/09/2012
DI,20102011,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9548,11/09/2012
DI,20112012,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9447,11/09/2012
DI,20122013,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9529,07/03/2013
DI,20132014,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9550,07/07/2014
DI,20142015,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9448,08/18/2015
DI,20152016,25,0095,000,SOUTH PLATTE PUBLIC SCHOOLS,0.9503,12/12/2016
DI,20012002,26,0001,000,PONCA PUBLIC SCHOOLS,0.9645,11/09/2012
DI,20022003,26,0001,000,PONCA PUBLIC SCHOOLS,0.9618,11/09/2012
DI,20032004,26,0001,000,PONCA PUBLIC SCHOOLS,0.9632,11/09/2012
DI,20042005,26,0001,000,PONCA PUBLIC SCHOOLS,0.9642,11/09/2012
DI,20052006,26,0001,000,PONCA PUBLIC SCHOOLS,0.9631,11/09/2012
DI,20062007,26,0001,000,PONCA PUBLIC SCHOOLS,0.9655,11/09/2012
DI,20072008,26,0001,000,PONCA PUBLIC SCHOOLS,0.9660,11/09/2012
DI,20082009,26,0001,000,PONCA PUBLIC SCHOOLS,0.9620,11/09/2012
DI,20092010,26,0001,000,PONCA PUBLIC SCHOOLS,0.9623,11/09/2012
DI,20102011,26,0001,000,PONCA PUBLIC SCHOOLS,0.9564,11/09/2012
DI,20112012,26,0001,000,PONCA PUBLIC SCHOOLS,0.9587,11/09/2012
